month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,551,551,25857,15244,-1.66,8.3,200,66.7
2023-04,1616,1084,25857,15244,-1.59,13.8,350,116.7
2023-05,3786,1984,25857,15244,-1.45,32.4,350,116.7
2023-06,3778,2433,25857,15244,-1.45,32.4,350,116.7
2023-07,3742,2695,25857,15244,-1.45,22.4,500,166.7
2023-08,5607,3180,25857,15244,-1.33,33.6,500,166.7
2023-09,5018,3924,25857,15244,-1.37,30.1,500,166.7
2023-10,6142,4679,25857,15244,-1.29,30.7,600,200.0
2023-11,6857,5191,25857,15244,-1.25,34.3,600,200.0
2023-12,6934,5717,25857,15244,-1.24,34.7,600,200.0
2024-01,9138,6616,25857,15244,-1.1,49.9,550,183.3
2024-02,8981,7178,25857,15244,-1.11,49.0,550,183.3
2024-03,9177,7872,25857,15244,-1.09,50.1,550,183.3
2024-04,11318,8734,25857,15244,-0.95,52.2,650,216.7
2024-05,13368,9819,25857,15244,-0.82,61.7,650,216.7
2024-06,11546,10588,25857,15244,-0.94,53.3,650,216.7
2024-07,13357,11291,25857,15244,-0.82,61.6,650,216.7
2024-08,14708,12246,25857,15244,-0.73,67.9,650,216.7
2024-09,14718,13169,25857,15244,-0.73,67.9,650,216.7
2024-10,17030,14121,25857,15244,-0.58,68.1,750,250.0
2024-11,17470,14805,25857,15244,-0.55,69.9,750,250.0
2024-12,15687,15495,25857,15244,-0.67,62.7,750,250.0
2025-01,16172,15964,25857,15244,-0.64,64.7,750,250.0
2025-02,13670,15791,25857,15244,-0.8,54.7,750,250.0
2025-03,18241,16378,25857,15244,-0.5,73.0,750,250.0
2025-04,20313,16926,25857,15244,-0.36,76.2,800,266.7
2025-05,24132,18036,25857,15244,-0.11,90.5,800,266.7
2025-06,24443,19495,25857,15244,-0.09,91.6,800,266.7
2025-07,28341,21523,25857,15244,0.16,100.0,850,283.3
2025-08,26986,23743,25857,15244,0.07,95.3,850,283.3
2025-09,23871,24681,25857,15244,-0.13,84.3,850,283.3
2025-10,22959,25122,25857,15244,-0.19,76.5,900,300.0
2025-11,15534,23689,25857,15244,-0.68,51.8,900,300.0
2025-12,17553,22541,25857,15244,-0.54,58.5,900,300.0
2026-01,72347,29875,25857,15244,3.05,,,
2026-02,15567,27972,25857,15244,-0.68,,,
