month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,339,339.0,0,0,339.0,339.0,339.0,339.0,339.0,0,2,337,343,1.1,1.695,0,2023-Q1
2023-02,464,401.5,62.5,1.0,401.5,464.0,526.5,339.0,276.5,0,6,458,476,1.51,2.32,0,2023-Q1
2023-03,1117,640.0,341.1,1.4,640.0,981.1,1322.3,298.9,0,0,12,1105,1141,3.64,5.585,0,2023-Q1
2023-04,1616,884.0,515.6,1.42,884.0,1399.6,1915.3,368.4,0,0,15,1601,1646,5.56,7.6952,0,2023-Q2
2023-05,3786,1464.4,1249.1,1.86,1464.4,2713.5,3962.5,215.3,0,0,18,3768,3822,13.04,18.0286,0,2023-Q2
2023-06,3778,1850.0,1429.5,1.35,1850.0,3279.5,4709.1,420.5,0,0,41,3737,3860,13.01,17.9905,790.29,2023-Q2
2023-07,3742,2120.3,1479.9,1.1,2417.2,3600.1,5080.0,640.4,0,0,38,3704,3818,11.51,17.0091,758.37,2023-Q3
2023-08,5607,2556.1,1801.6,1.69,3274.3,4357.8,6159.4,754.5,0,0,52,5555,5711,17.25,25.4864,823.43,2023-Q3
2023-09,5018,2829.7,1866.5,1.17,3924.5,4696.2,6562.7,963.2,0,0,32,4986,5082,15.44,22.8091,641.06,2023-Q3
2023-10,6142,3160.9,2030.5,1.47,4678.8,5191.4,7221.9,1130.4,0,0,68,6074,6278,18.24,26.1362,496.14,2023-Q4
2023-11,6857,3496.9,2208.4,1.52,5190.7,5705.3,7913.7,1288.5,0,0,75,6782,7007,20.37,29.1787,628.74,2023-Q4
2023-12,6934,3783.3,2318.0,1.36,5716.7,6101.3,8419.3,1465.3,0,0,81,6852,7095,20.6,29.5064,595.26,2023-Q4
2024-01,9138,4516.6,2497.2,1.85,6616.0,7013.8,9511.1,2019.3,0,0,130,9008,9398,29.77,36.552,689.09,2024-Q1
2024-02,8981,5226.3,2454.5,1.53,7178.3,7680.9,10135.4,2771.8,317.3,0,130,8851,9241,29.25,35.924,825.14,2024-Q1
2024-03,9177,5898.0,2338.2,1.4,7871.5,8236.2,10574.3,3559.8,1221.7,0,133,9044,9443,29.89,36.708,678.6,2024-Q1
2024-04,11318,6706.5,2394.5,1.93,8734.2,9101.0,11495.4,4312.0,1917.6,0,165,11153,11648,33.82,43.5308,825.06,2024-Q2
2024-05,13368,7505.0,2843.1,2.06,9819.3,10348.1,13191.1,4661.9,1818.9,0,186,13182,13740,39.94,51.4154,1111.6,2024-Q2
2024-06,11546,8152.3,2804.9,1.21,10588.0,10957.2,13762.1,5347.5,2542.6,0,222,11324,11990,34.5,44.4077,781.2,2024-Q2
