month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,351,351.0,0,0,351.0,351.0,351.0,351.0,351.0,0,298,53,947,0.96,0.78,0,2023-Q1
2023-02,234,292.5,58.5,-1.0,292.5,351.0,409.5,234.0,175.5,0,199,35,632,0.64,0.52,0,2023-Q1
2023-03,415,333.3,74.9,1.09,333.3,408.3,483.2,258.4,183.5,0,335,79,1084,1.13,0.9222,0,2023-Q1
2023-04,350,337.5,65.3,0.19,337.5,402.8,468.1,272.2,206.9,0,281,69,912,0.88,0.7447,0,2023-Q2
2023-05,445,359.0,72.5,1.19,359.0,431.5,504.1,286.5,213.9,0,363,82,1171,1.11,0.9468,0,2023-Q2
2023-06,484,379.8,81.0,1.29,379.8,460.8,541.7,298.9,217.9,0,413,71,1310,1.21,1.0298,35.23,2023-Q2
2023-07,370,378.4,75.0,-0.11,383.0,453.5,528.5,303.4,228.4,0,295,75,960,0.79,0.7551,28.06,2023-Q3
2023-08,368,377.1,70.3,-0.13,405.3,447.4,517.7,306.9,236.6,0,247,121,862,0.79,0.751,-3.89,2023-Q3
2023-09,366,375.9,66.3,-0.15,397.2,442.2,508.6,309.5,243.2,1,231,134,837,0.78,0.7469,-7.57,2023-Q3
2023-10,332,371.5,64.3,-0.61,394.2,435.8,500.1,307.2,242.9,0,237,95,806,0.71,0.651,-26.31,2023-Q4
2023-11,298,364.8,64.8,-1.03,369.7,429.7,494.5,300.0,235.1,0,232,66,762,0.64,0.5843,-29.89,2023-Q4
2023-12,268,356.8,67.6,-1.31,333.7,424.4,492.0,289.1,221.5,0,207,61,682,0.57,0.5255,-21.54,2023-Q4
2024-01,325,354.6,68.2,-0.43,326.2,422.8,490.9,286.4,218.2,0,243,82,811,0.65,0.6019,-15.51,2024-Q1
2024-02,269,357.5,63.5,-1.39,309.7,421.0,484.6,294.0,230.4,0,202,67,673,0.54,0.4981,-15.31,2024-Q1
2024-03,344,351.6,61.2,-0.12,306.0,412.8,473.9,290.4,229.2,1,228,115,809,0.69,0.637,0.86,2024-Q1
2024-04,412,356.8,63.4,0.87,319.3,420.1,483.5,293.4,230.0,1,278,133,977,0.77,0.7103,21.2,2024-Q2
2024-05,408,353.7,59.8,0.91,337.7,413.5,473.3,293.8,234.0,0,274,134,956,0.76,0.7034,29.6,2024-Q2
2024-06,403,346.9,48.2,1.16,360.2,395.1,443.3,298.7,250.6,0,275,128,953,0.76,0.6948,25.0,2024-Q2
2024-07,491,357.0,62.5,2.14,387.8,419.5,482.0,294.5,232.0,0,355,136,1201,0.87,0.7794,36.66,2024-Q3
2024-08,806,393.5,139.2,2.96,477.3,532.7,671.8,254.3,115.2,0,438,368,1682,1.42,1.2794,72.63,2024-Q3
2024-09,736,424.3,167.7,1.86,542.7,592.0,759.7,256.6,88.9,0,528,208,1792,1.3,1.1683,82.91,2024-Q3
2024-10,679,453.2,178.8,1.26,587.2,632.1,810.9,274.4,95.6,0,473,206,1625,1.13,0.97,76.26,2024-Q4
2024-11,518,471.6,173.2,0.27,605.5,644.8,817.9,298.4,125.2,0,325,192,1167,0.86,0.74,30.54,2024-Q4
2024-12,455,487.2,162.2,-0.2,614.2,649.4,811.6,325.0,162.7,1,313,141,1090,0.76,0.65,-31.46,2024-Q4
2025-01,541,505.2,155.0,0.23,622.5,660.2,815.3,350.1,195.1,2,290,249,1139,0.95,0.7411,-66.54,2025-Q1
2025-02,550,528.6,137.9,0.16,579.8,666.5,804.3,390.7,252.8,0,264,286,1078,0.97,0.7534,-40.2,2025-Q1
2025-03,811,567.5,146.0,1.67,592.3,713.5,859.4,421.5,275.6,0,311,500,1433,1.43,1.111,24.06,2025-Q1
2025-04,1523,660.1,294.6,2.93,733.0,954.7,1249.3,365.5,70.9,0,297,1226,2117,2.47,2.0039,174.34,2025-Q2
2025-05,1656,764.1,391.6,2.28,922.7,1155.7,1547.3,372.5,0,0,348,1308,2352,2.69,2.1789,263.2,2025-Q2
2025-06,1597,863.6,436.3,1.68,1113.0,1299.9,1736.3,427.2,0,2,293,1302,2201,2.59,2.1013,266.0,2025-Q2
2025-07,1863,977.9,499.0,1.77,1333.3,1476.9,1975.9,478.9,0,2,361,1499,2602,2.79,2.3582,258.74,2025-Q3
2025-08,1580,1042.4,522.1,1.03,1505.0,1564.5,2086.6,520.3,0,2,299,1279,2196,2.37,2.0,137.31,2025-Q3
2025-09,1537,1109.2,529.8,0.81,1626.0,1639.0,2168.7,579.4,49.6,2,306,1228,2166,2.31,1.9456,3.09,2025-Q3
2025-10,1455,1173.8,520.6,0.54,1614.7,1694.4,2215.1,653.2,132.6,2,312,1141,2097,2.08,1.7744,-41.94,2025-Q4
2025-11,1395,1246.9,483.7,0.31,1571.2,1730.6,2214.2,763.3,279.6,8,330,1057,2127,1.99,1.7012,-65.06,2025-Q4
2025-12,4421,1577.4,955.0,2.98,2041.8,2532.4,3487.4,622.4,0,15,603,3803,5762,6.32,5.3915,347.23,2025-Q4
2026-01,4375,1896.9,1171.6,2.12,2460.5,3068.5,4240.1,725.3,0,18,538,3815,5609,5.97,5.1471,644.77,2026-Q1
2026-02,2316,2044.1,1102.0,0.25,2583.2,3146.1,4248.1,942.1,0,6,726,1584,3822,3.16,2.7247,448.03,2026-Q1
